,review,voted_up
47,very very bad,False
48,"this game suck
",False
49,Deadgame ở chế độ online. matchmaking chả có ma nào.,False
50,"Mua Grand Theft Auto V: Premium Online Edition & Whale Shark Card Bundle
Whale Shark Card Bundle khong duoc kich hoat
",False
51,ROCKSTAR IS FUCKING LAG,False
52,lag bug game,False
53,i bought gta 5 game on steam but when it came to playing it said an error i need explain properly i have not been able to phay game since I bught it,False
54,Grand Theft Auto V own the worst physic for gaming all times,False
55,lỗi không vào đc rockstar,False
56,at this point all i do here i commit mass murderings,False
57,"BEST GAME EVER, NOW WHERES MY GTA VI?",False
58,"game gì mà gõ gmail sơ ý gmail đó không tồn tại vẫn cho đăng kí 
rồi quên mật khẩu đéo có gmail để lấy lại acc :((
Đáng dislike",False
59,"tôi bị khóa tài khoản khi tôi chỉ mod đồ họa giúp trò chơi đẹp hơn , nó không hề làm mất cân bằng của trò chơi
sau ngày 21 tháng 10 , tất cả nhân vật của tôi bị xóa nên chắc tôi cũng không còn lý do gì để chơi GTA 
mong các bạn kiểm duyệt lại giúp tôi",False
60,Why do I buy games without playing casino games?,False
61,không vui lắm,False
62,online shit with hacker,False
63,"nice game but not good
story 6/10
online 3/10
sever online 1/10",False
64,good game,False
65,Why do I have to verify my rockstar game account whiles I am entering the game whiles I can't remember my account PlayStation 4,False
66,dead game 2020 :)),False
